,yields,ndvi,volumenImagen,volumenCalculado,areaCalculada,areaImagen,alturaImagen,alturaMedida,datosIafNdvi,meanRed,minRed,maxRed,minGreen,maxGreen,meanGreen,minBlue,maxBlue,meanBlue,maxHistIndexValue,maxHistRedIndexValue,maxHistGreenIndexValue,maxHistBlueIndexValue,varianceRed,varianceGreen,varianceBlue,criMean,criMax,criMin,cgreenviMean,cgreenviMax,cgreenviMin,cnirviMean,cnirviMax,cnirviMin,gndviMean,gndviMax,gndviMin,mcariOneMean,mcariOneMax,mcariOneMin,mtviOneMean,mtviOneMax,mtviOneMin,ngrdiMean,ngrdiMax,ngrdiMin,ndviMean,ndviMax,ndviMin,rviMean,rviMax,rviMin,nrviMean,nrviMax,nrviMin,tviMean,tviMax,tviMin,saviMean,saviMax,saviMin
minRed,-0.14697985628246063,0.5823263154413736,-0.47346155581143207,-0.48942646245838783,-0.35088563215550517,-0.4900863879914098,-0.35710360457601004,-0.37430676880551705,-0.14074526687917907,0.5561001575413201,1.0,0.11152421360293573,0.381374144355556,0.043350474849931334,0.09636636893897875,0.9042751449682508,0.2626943424354682,0.7849726504083522,0.44047601854807295,,0.24110515934012453,0.24110515934012453,-0.6446019530269583,-0.8575211447946965,-0.41914845819084673,-0.03327762629850958,-0.10006549401404234,0.9576963613214138,-0.021542930541305922,0.003371602790707945,0.3829100436477169,0.24313566768865033,-0.785558240671585,0.9104495666157691,0.5569869776831398,-0.37931334050377896,0.3316145700222602,0.8320914808907802,0.44990786242532865,0.899050771098535,0.8320914808907802,0.44990786242532865,0.899050771098535,-0.21296842314009035,-0.48566563711669714,0.3821967094770201,0.5823263154413737,-0.12623808856141727,0.5295963419531533,0.8173065913240527,-0.35028657991575984,0.5160240171377393,0.8230801479127362,-0.3140358864342516,0.5295963419531535,0.8234855786945905,-0.3112019568344894,0.5317749133529981,0.8241885475701966,-0.30000181129586906,0.5384340321911576
maxRed,0.4581561470002413,0.17142256809777204,0.33303743070894476,0.3202397640890066,0.32508951575905176,0.22985537290093516,0.42247225871471555,0.3977935923140617,0.7255351770631802,0.41908334941579534,0.11152421360293573,1.0,-0.1503739345277656,0.9275424827997267,0.30915320330727775,0.22623688272676462,0.712157768321943,0.3232889475140726,0.26971279952102717,,0.3249256841021144,0.3249256841021144,0.2503912322741613,-0.19907827580959284,0.5119574676550459,0.10141446996220022,0.9233725312154927,-0.01672935699544169,0.12624565184295275,0.8669831041870772,-0.16552663779790117,0.200065833921443,0.02097709149599986,0.1887070518202112,0.048101012292779535,0.15385118738160236,-0.7174437960051466,0.2670602611636199,0.2814503113410466,0.2216529677486432,0.2670602611636199,0.2814503113410466,0.2216529677486432,-0.009220461381026519,0.4258022480713774,-0.14732626330230264,0.17142256809777212,0.35848396274633887,-0.6332516726186792,0.13545678180540557,0.14688467810271383,-0.6428403023925096,0.1316880501856277,0.20087327007015354,-0.6332516726186792,0.13132060737512902,0.20386900561230428,-0.6309894408122552,0.13396456631702183,0.20389557461232793,-0.6243365545500177
minGreen,-0.3213904444468983,0.15235409391466337,-0.39861350361950587,-0.430442123708535,-0.36727000793983433,-0.4115113025117507,-0.31448602726620023,-0.3805109462205748,-0.2024866724573442,0.07463982933142532,0.381374144355556,-0.1503739345277656,1.0,-0.12515962188965704,0.16597454747297058,0.28832680683860135,-0.16809507959003506,0.2006356802141121,-0.01294268677456226,,0.055496678999552365,0.055496678999552365,-0.4087476449646519,-0.29943882475221456,-0.313317494087737,0.07406579486299472,-0.2061896509883702,0.4168580951602037,0.04378105597313109,-0.19640221100567107,0.9952339330523848,0.12043468540290288,-0.3388217104140409,0.3076462564399888,0.021107794917920364,-0.9966307142881532,0.18882605006401054,0.2785951771690156,0.15952797161683643,0.308618449798426,0.2785951771690156,0.15952797161683643,0.308618449798426,0.18890183207498643,-0.17191668547094052,0.9946213678910973,0.15235409391466329,-0.22666192404612842,0.32159301082729885,0.281501215952461,-0.18886388408588278,0.33173716007423776,0.28665467099602204,-0.2093125794903245,0.3215930108272991,0.2870343538745848,-0.21015341526067471,0.31993952881289345,0.286348530074462,-0.20575316347601663,0.3228678525649784
maxGreen,0.4708686120695163,0.08905439184616876,0.3656526889422498,0.33357500170762716,0.3295011558979751,0.21960162213404077,0.5143922137178958,0.4566154571997552,0.7372645461370239,0.270113281259797,0.043350474849931334,0.9275424827997267,-0.12515962188965704,1.0,0.3714188919921522,0.1332756338020627,0.6187147632219925,0.1935829228525017,0.17945372355385122,,0.27506745723042364,0.27506745723042364,0.20491411558992703,-0.1235543279876603,0.5861355276437669,0.1428216126566473,0.8987519829011998,-0.044356742091689286,0.12627643306236802,0.9232843727270824,-0.14196630054432496,0.15213001548629343,0.1234368408490708,0.10930647338307428,-0.10634163435564956,0.12767896554336725,-0.8406689970366336,0.17828918317287365,0.32929202161753357,0.13637258132699376,0.17828918317287365,0.32929202161753357,0.13637258132699376,0.1553992729000725,0.5925975610862733,-0.1219994396586912,0.08905439184616887,0.30966981357703255,-0.6859883787979961,0.06394614113435815,0.18092721822938135,-0.6951629410809047,0.057001369981619476,0.21429789881068198,-0.6859883787979961,0.05622516058154067,0.21604669879762073,-0.683743890449192,0.05857571556617201,0.2175878063593707,-0.6782868951989022
meanGreen,0.1112274972994223,-0.0427421768595246,0.09623814311383251,0.03110602425972961,0.04209384722236624,-0.0077145952629454366,0.1991669986225889,0.057740875961092494,0.14096248014987478,0.42057999944240165,0.09636636893897875,0.30915320330727775,0.16597454747297058,0.3714188919921522,1.0,0.15162158808256737,0.3424191151199688,0.24547425013762428,0.16499001607424826,,0.34599702270564076,0.34599702270564076,0.22388229991934652,-0.109906319037574,0.5835971368279611,-0.05056112894558869,0.1523971677815306,-0.031085766611259925,-0.09377460226012609,-0.005749220137264311,0.11520947990187838,0.029767062714721484,-0.09847477205150457,0.1198893426911216,-0.5799152754556949,-0.17524547969402507,-0.34668523889250924,0.2626333136430229,0.4179875795266558,0.1718015428937439,0.2626333136430229,0.4179875795266558,0.1718015428937439,0.7740688108330167,0.3981601644301782,0.19086390240371764,-0.04274217685952452,0.1435034622601579,-0.18407770861023562,-0.020905505384845962,0.09878134895286893,-0.18738698162496598,-0.01846298059558449,0.12510751403751919,-0.18407770861023548,-0.01798107248315025,0.1266442264138118,-0.18326004110914598,-0.015548581516137675,0.12847568059981948,-0.1810602810027028
minBlue,-0.018221787666427007,0.637460567345957,-0.3575506376282046,-0.3642020025094347,-0.23626872009521657,-0.3715972757606382,-0.27946852201340094,-0.27069239033170456,-0.10529129915102879,0.6829889761758832,0.9042751449682508,0.22623688272676462,0.28832680683860135,0.1332756338020627,0.15162158808256737,1.0,0.3998080357215038,0.9087903063225902,0.5298282704944883,,0.3092098260987749,0.3092098260987749,-0.5520171908950912,-0.952555565309003,-0.2569945813935634,-0.04540922682038969,-0.027555383745655356,0.8013661466711971,-0.057357633696778265,0.07728130162268455,0.2832943285002828,0.315824671875747,-0.8531458417231788,0.9920606400698818,0.6273446489678582,-0.284110249162506,0.26713083638771495,0.9453081110561741,0.5614678598599956,0.989310911701097,0.9453081110561741,0.5614678598599956,0.989310911701097,-0.26778033184065747,-0.4719273032123371,0.2929784314116114,0.637460567345957,0.16359449921301375,0.48078132281803415,0.9124385396794391,-0.012861852301600432,0.4669872241341473,0.9138126183905095,0.04021294459469039,0.4807813228180346,0.9137310542123626,0.04356830500044275,0.4828132564998623,0.9153362976781733,0.054065225114890536,0.49159789571954976
maxBlue,0.40892604265209836,0.2965970638137485,0.22995288594282295,0.24335521119388032,0.21228785909078848,0.14547210814931885,0.2774524859096203,0.3242452344922357,0.34899592472857927,0.6740455639891216,0.2626943424354682,0.712157768321943,-0.16809507959003506,0.6187147632219925,0.3424191151199688,0.3998080357215038,1.0,0.5618354681403084,0.46495888513097844,,0.4240536307224303,0.4240536307224303,0.3316859111617642,-0.2839603299672349,0.4477507053129533,-0.06364888533287812,0.5167407279820386,0.07347928259637311,-0.017022455595057214,0.5156213617151283,-0.1821651920078578,0.08799348466967027,-0.08685743554191964,0.3353837138630636,0.21124033670395415,0.16966335165911242,-0.36027999986140286,0.4653562846587413,0.41436678692945283,0.38824173137253776,0.4653562846587413,0.41436678692945283,0.38824173137253776,-0.1402985320383809,0.15563845828728767,-0.1586598532098347,0.2965970638137483,0.4342879055502352,-0.2149261272107476,0.2786577819825765,0.12230014001595287,-0.22636896189682368,0.27529146796181836,0.20259183714708107,-0.2149261272107478,0.2750652503570908,0.20693097262009982,-0.2128554200558825,0.2786779379726304,0.21026856892057463,-0.20691697927781683
meanBlue,0.07548073220338916,0.6077261461417034,-0.2230791657054153,-0.1927366887028119,-0.11971104856636385,-0.22317263093242323,-0.20040252503276512,-0.1196855433278443,-0.07186344503323865,0.8891928881184958,0.7849726504083522,0.3232889475140726,0.2006356802141121,0.1935829228525017,0.24547425013762428,0.9087903063225902,0.5618354681403084,1.0,0.6799771817155935,,0.4959118918994148,0.4959118918994148,-0.2793652587054867,-0.8693608745889168,-0.12394214839129117,-0.09307019730540816,-0.0019962522465668507,0.5971004448641364,-0.07341394596083119,0.09930177769283885,0.1923302525330265,0.30444721122824087,-0.8713635905593288,0.8505811655897001,0.640233529252954,-0.19624771518037215,0.21884821261638662,0.9657945362730623,0.5720390928443888,0.9112043056478587,0.9657945362730623,0.5720390928443888,0.9112043056478587,-0.3260717705315028,-0.4455730871036992,0.20552350336812186,0.6077261461417035,0.2719630691368219,0.4102060363807924,0.8429530096788259,0.020974772849789276,0.3957250787124521,0.8509293322294788,0.09847889529147812,0.41020603638079206,0.8518733208737262,0.10320249978541955,0.4124214373771194,0.8538859506223003,0.11042882841836456,0.42073160465595844
maxHistIndexValue,0.11880478553351524,0.32527668399772564,-0.04630905735709641,-0.02963503119451997,-0.07857546255129008,-0.0744959914816123,-0.018187414930449515,0.027834945164603227,0.020546642859665613,0.6716756213561085,0.44047601854807295,0.26971279952102717,-0.01294268677456226,0.17945372355385122,0.16499001607424826,0.5298282704944883,0.46495888513097844,0.6799771817155935,1.0,,0.41093627873326466,0.41093627873326466,-0.011264347562276492,-0.43782021419353895,-0.03686376236707099,-0.116268517185155,0.02196886767311768,0.2733869594067672,-0.04342410501684007,0.11614473816258182,-0.027347655348777495,0.10198054098602649,-0.5318793378421979,0.46176883279175274,0.43451337382571226,0.0073888247221311045,0.09094394658381773,0.6134808579614853,0.5174052986441832,0.5273465461794165,0.6134808579614853,0.5174052986441832,0.5273465461794165,-0.27622677968605674,-0.2502568865389125,-0.0031505354053577438,0.3252766839977255,0.177064041509091,0.1528572591194847,0.4796864645642117,-0.0028756013207415936,0.14978324295594467,0.48404229420668926,0.04417302111052792,0.1528572591194847,0.48468243577934383,0.04704059444948745,0.15330035722227453,0.48668780028355524,0.053818036021227186,0.15943561038776338
maxHistRedIndexValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
